umur,setoran_per_minggu,murojaah_per_minggu,kehadiran,nilai_ujian,konsistensi,progress
17,5,3,70,73,0.71,sedang
12,4,3,80,63,0.57,sedang
18,5,2,98,75,0.71,sedang
12,9,3,100,66,1.29,sedang
17,4,2,69,91,0.57,lambat
18,5,2,97,70,0.71,sedang
13,0,3,71,74,0.0,lambat
13,3,3,68,76,0.43,lambat
13,3,5,70,60,0.43,lambat
17,10,2,72,59,1.43,sedang
12,5,2,92,80,0.71,sedang
13,3,6,73,77,0.43,lambat
16,0,2,49,79,0.0,lambat
18,6,3,52,90,0.86,lambat
17,5,5,79,76,0.71,sedang
17,2,0,87,85,0.29,lambat
17,5,4,71,100,0.71,sedang
17,5,2,89,80,0.71,sedang
14,2,3,86,72,0.29,lambat
15,4,8,66,50,0.57,lambat
16,5,1,89,88,0.71,sedang
14,4,3,79,60,0.57,sedang
16,2,3,53,82,0.29,lambat
13,4,1,82,88,0.57,sedang
12,10,3,81,89,1.43,sedang
18,5,3,68,83,0.71,lambat
13,4,0,74,75,0.57,sedang
17,2,6,93,85,0.29,lambat
13,0,2,67,55,0.0,lambat
14,11,4,80,78,1.57,sedang
18,3,4,100,76,0.43,lambat
18,6,5,71,85,0.86,sedang
17,7,4,100,60,1.0,sedang
13,3,2,90,84,0.43,lambat
15,1,0,84,64,0.14,lambat
18,8,4,69,100,1.14,lambat
16,0,4,53,83,0.0,lambat
13,0,5,90,78,0.0,lambat
18,4,6,71,72,0.57,sedang
14,8,5,71,67,1.14,sedang
13,1,3,56,79,0.14,lambat
12,1,6,78,74,0.14,lambat
15,9,1,61,71,1.29,lambat
17,5,0,70,75,0.71,sedang
17,6,4,73,81,0.86,sedang
16,10,6,92,61,1.43,sedang
15,6,6,80,75,0.86,sedang
14,1,4,81,78,0.14,lambat
16,5,3,100,84,0.71,sedang
12,0,3,62,80,0.0,lambat
18,8,8,100,83,1.14,sedang
17,0,1,56,72,0.0,lambat
18,9,6,90,58,1.29,sedang
15,5,5,71,73,0.71,sedang
12,12,8,66,67,1.71,lambat
18,0,4,81,78,0.0,lambat
17,2,3,82,68,0.29,lambat
17,5,5,82,70,0.71,sedang
17,5,9,90,81,0.71,sedang
12,0,5,99,87,0.0,lambat
14,0,5,83,66,0.0,lambat
14,4,3,86,83,0.57,sedang
17,7,6,66,85,1.0,lambat
13,0,1,77,75,0.0,lambat
13,1,3,90,71,0.14,lambat
14,3,2,86,66,0.43,lambat
17,8,1,91,75,1.14,sedang
16,8,3,89,73,1.14,sedang
15,8,5,77,67,1.14,sedang
15,3,0,69,78,0.43,lambat
16,5,5,65,61,0.71,lambat
16,12,8,84,74,1.71,sedang
13,7,4,71,70,1.0,sedang
15,8,4,91,68,1.14,sedang
16,0,2,86,57,0.0,lambat
17,4,2,76,69,0.57,sedang
13,4,0,72,77,0.57,sedang
15,8,4,68,83,1.14,lambat
17,10,3,93,63,1.43,sedang
13,1,1,90,78,0.14,lambat
12,5,7,72,79,0.71,sedang
15,8,3,80,82,1.14,sedang
15,0,5,86,89,0.0,lambat
17,7,1,100,85,1.0,sedang
14,4,4,88,72,0.57,sedang
13,5,3,100,56,0.71,sedang
12,5,2,100,72,0.71,sedang
14,8,5,84,73,1.14,sedang
13,10,5,61,65,1.43,lambat
15,10,4,80,61,1.43,sedang
13,6,4,100,67,0.86,sedang
13,4,6,95,84,0.57,sedang
13,7,5,83,74,1.0,sedang
16,2,4,80,91,0.29,lambat
14,8,4,89,80,1.14,sedang
12,8,3,89,78,1.14,sedang
15,4,0,57,74,0.57,lambat
12,4,4,91,72,0.57,sedang
18,2,4,75,63,0.29,lambat
16,5,4,76,79,0.71,sedang
18,2,2,63,81,0.29,lambat
13,1,6,88,99,0.14,lambat
16,5,2,100,98,0.71,sedang
16,6,2,79,83,0.86,sedang
12,6,3,100,71,0.86,sedang
16,2,2,100,79,0.29,lambat
17,5,4,77,73,0.71,sedang
17,6,2,65,86,0.86,lambat
15,5,3,72,88,0.71,sedang
17,2,5,97,80,0.29,lambat
16,8,5,96,70,1.14,sedang
17,8,3,51,65,1.14,lambat
17,2,8,74,75,0.29,lambat
13,6,1,72,64,0.86,sedang
13,0,8,73,70,0.0,lambat
15,5,3,67,84,0.71,lambat
12,1,4,100,61,0.14,lambat
18,1,3,80,86,0.14,lambat
13,3,0,95,87,0.43,lambat
13,4,6,83,92,0.57,sedang
18,9,1,59,70,1.29,lambat
16,6,0,59,64,0.86,lambat
17,1,5,83,69,0.14,lambat
17,1,6,57,93,0.14,lambat
12,7,3,75,77,1.0,sedang
14,2,1,62,89,0.29,lambat
17,8,4,58,75,1.14,lambat
17,5,2,100,78,0.71,sedang
16,4,5,100,79,0.57,sedang
18,2,6,100,85,0.29,lambat
14,2,4,92,67,0.29,lambat
14,7,6,74,65,1.0,sedang
18,1,1,84,56,0.14,lambat
16,7,3,67,57,1.0,lambat
14,1,5,82,85,0.14,lambat
12,0,2,94,68,0.0,lambat
12,9,2,77,95,1.29,sedang
16,0,6,50,86,0.0,lambat
13,1,4,66,70,0.14,lambat
13,1,5,66,90,0.14,lambat
15,0,6,50,83,0.0,lambat
13,1,3,100,76,0.14,lambat
13,4,3,92,79,0.57,sedang
13,3,5,66,69,0.43,lambat
17,6,10,83,82,0.86,sedang
13,4,4,88,79,0.57,sedang
17,6,4,70,84,0.86,sedang
16,5,7,67,85,0.71,lambat
18,5,5,83,72,0.71,sedang
13,8,1,72,82,1.14,sedang
14,5,5,61,86,0.71,lambat
13,0,6,82,72,0.0,lambat
14,7,2,76,87,1.0,sedang
12,5,2,69,59,0.71,lambat
16,1,5,72,77,0.14,lambat
16,1,6,100,74,0.14,lambat
18,2,2,69,70,0.29,lambat
12,8,2,68,71,1.14,lambat
12,1,4,64,56,0.14,lambat
16,4,3,84,71,0.57,sedang
12,3,2,76,80,0.43,lambat
13,3,3,69,67,0.43,lambat
13,7,4,50,81,1.0,lambat
13,9,5,64,81,1.29,lambat
14,3,6,65,85,0.43,lambat
14,0,0,92,78,0.0,lambat
18,4,4,90,85,0.57,sedang
14,9,3,76,73,1.29,sedang
13,2,4,87,71,0.29,lambat
12,6,4,69,70,0.86,lambat
16,5,3,90,72,0.71,sedang
17,13,5,94,61,1.86,sedang
15,4,4,81,96,0.57,sedang
18,8,6,69,81,1.14,lambat
13,8,7,69,82,1.14,lambat
17,12,5,98,83,1.71,sedang
17,3,2,60,86,0.43,lambat
18,5,0,84,63,0.71,sedang
18,0,4,62,61,0.0,lambat
15,9,0,56,64,1.29,lambat
13,1,6,100,65,0.14,lambat
12,7,5,75,88,1.0,sedang
13,8,4,95,53,1.14,sedang
18,5,4,75,83,0.71,sedang
17,5,2,91,83,0.71,sedang
14,0,2,100,71,0.0,lambat
12,4,5,57,74,0.57,lambat
14,8,2,81,76,1.14,sedang
14,5,5,68,75,0.71,lambat
15,8,6,100,84,1.14,sedang
12,13,5,63,77,1.86,lambat
12,1,5,92,80,0.14,lambat
13,4,4,75,65,0.57,sedang
16,0,8,95,78,0.0,lambat
18,6,1,81,79,0.86,sedang
13,4,8,82,80,0.57,sedang
13,2,4,98,63,0.29,lambat
17,14,1,66,64,2.0,lambat
13,8,5,93,61,1.14,sedang
12,6,4,92,76,0.86,sedang
15,5,1,87,75,0.71,sedang
13,2,4,65,81,0.29,lambat
16,8,2,59,73,1.14,lambat
13,5,3,77,65,0.71,sedang
12,5,4,66,66,0.71,lambat
14,6,3,75,91,0.86,sedang
18,10,2,72,81,1.43,sedang
12,4,2,100,79,0.57,sedang
16,2,1,90,82,0.29,lambat
15,3,4,60,82,0.43,lambat
14,8,2,77,70,1.14,sedang
17,6,3,60,82,0.86,lambat
16,3,2,88,69,0.43,lambat
12,11,0,72,73,1.57,sedang
17,0,4,76,72,0.0,lambat
15,7,3,90,88,1.0,sedang
13,1,1,86,81,0.14,lambat
12,3,1,100,77,0.43,lambat
17,2,4,74,86,0.29,lambat
14,1,4,82,84,0.14,lambat
17,0,4,69,75,0.0,lambat
16,3,4,81,62,0.43,lambat
14,3,2,68,86,0.43,lambat
18,6,3,81,63,0.86,sedang
14,0,7,89,72,0.0,lambat
18,4,3,68,55,0.57,lambat
14,7,5,64,82,1.0,lambat
12,3,3,52,76,0.43,lambat
17,5,4,97,78,0.71,sedang
17,0,3,67,67,0.0,lambat
14,4,2,100,73,0.57,sedang
12,2,1,85,65,0.29,lambat
12,5,5,84,77,0.71,sedang
18,7,4,86,62,1.0,sedang
13,6,0,100,93,0.86,sedang
18,3,2,69,88,0.43,lambat
16,0,3,91,64,0.0,lambat
14,0,3,76,84,0.0,lambat
12,8,7,100,62,1.14,sedang
13,6,6,69,73,0.86,lambat
14,5,3,91,96,0.71,sedang
14,4,7,99,72,0.57,sedang
17,4,3,40,66,0.57,lambat
12,5,2,88,66,0.71,sedang
13,6,3,80,75,0.86,sedang
14,6,3,81,74,0.86,sedang
15,7,6,83,70,1.0,sedang
16,0,1,97,89,0.0,lambat
13,0,4,75,50,0.0,lambat
13,4,1,75,80,0.57,sedang
12,6,4,84,59,0.86,sedang
16,6,4,59,71,0.86,lambat
15,6,8,94,75,0.86,sedang
12,5,4,93,75,0.71,sedang
16,7,0,96,63,1.0,sedang
13,0,4,56,89,0.0,lambat
18,2,5,79,82,0.29,lambat
18,0,3,100,75,0.0,lambat
14,4,4,65,84,0.57,lambat
12,7,4,60,81,1.0,lambat
16,1,4,61,72,0.14,lambat
13,4,2,72,72,0.57,sedang
12,0,4,79,69,0.0,lambat
15,2,2,84,77,0.29,lambat
13,3,1,52,75,0.43,lambat
17,3,5,50,80,0.43,lambat
17,1,3,73,61,0.14,lambat
16,2,0,81,90,0.29,lambat
15,6,8,80,70,0.86,sedang
14,1,4,69,83,0.14,lambat
16,3,1,61,67,0.43,lambat
12,5,5,100,74,0.71,sedang
18,0,4,86,75,0.0,lambat
14,6,3,71,69,0.86,sedang
13,5,4,68,77,0.71,lambat
17,1,4,92,83,0.14,lambat
13,7,0,100,75,1.0,sedang
14,2,4,91,71,0.29,lambat
12,8,3,100,65,1.14,sedang
12,1,4,86,73,0.14,lambat
16,8,3,59,80,1.14,lambat
18,2,0,91,76,0.29,lambat
14,2,2,72,50,0.29,lambat
13,2,1,63,81,0.29,lambat
15,3,5,84,70,0.43,lambat
15,10,4,82,77,1.43,sedang
12,1,1,80,65,0.14,lambat
15,5,3,69,70,0.71,lambat
18,2,2,74,72,0.29,lambat
12,5,3,78,90,0.71,sedang
17,5,3,42,83,0.71,lambat
13,5,5,76,76,0.71,sedang
18,9,5,89,77,1.29,sedang
17,5,1,100,91,0.71,sedang
13,7,3,55,68,1.0,lambat
18,4,3,100,89,0.57,sedang
17,5,5,87,61,0.71,sedang
12,5,7,77,80,0.71,sedang
18,0,1,73,59,0.0,lambat
15,4,3,97,79,0.57,sedang
14,3,0,64,58,0.43,lambat
18,2,3,67,77,0.29,lambat
17,4,2,53,82,0.57,lambat
13,1,5,73,73,0.14,lambat
16,3,2,75,77,0.43,lambat
16,7,5,98,82,1.0,sedang
12,4,1,92,66,0.57,sedang
13,0,4,77,65,0.0,lambat
17,7,2,84,64,1.0,sedang
17,6,4,71,68,0.86,sedang
16,6,4,81,66,0.86,sedang
15,2,3,72,71,0.29,lambat
12,5,4,76,71,0.71,sedang
17,4,0,52,79,0.57,lambat
12,6,2,58,84,0.86,lambat
14,9,1,71,55,1.29,sedang
13,3,3,69,68,0.43,lambat
12,9,6,73,54,1.29,sedang
17,6,2,40,62,0.86,lambat
13,1,4,100,87,0.14,lambat
18,9,0,69,73,1.29,lambat
12,4,3,73,78,0.57,sedang
14,5,2,72,84,0.71,sedang
17,2,0,66,77,0.29,lambat
15,4,4,66,73,0.57,lambat
16,2,5,69,91,0.29,lambat
18,5,2,68,76,0.71,lambat
16,6,1,76,78,0.86,sedang
18,6,2,65,58,0.86,lambat
14,0,4,92,81,0.0,lambat
14,6,0,82,74,0.86,sedang
18,2,2,40,68,0.29,lambat
15,2,0,69,57,0.29,lambat
15,1,3,66,76,0.14,lambat
13,10,5,65,65,1.43,lambat
14,4,3,83,69,0.57,sedang
14,5,7,85,77,0.71,sedang
17,6,3,75,76,0.86,sedang
12,4,4,77,71,0.57,sedang
13,1,8,66,63,0.14,lambat
18,5,4,83,82,0.71,sedang
17,7,3,69,62,1.0,lambat
12,7,5,55,70,1.0,lambat
17,8,1,73,93,1.14,sedang
16,6,3,68,55,0.86,lambat
14,3,3,85,74,0.43,lambat
17,5,3,47,89,0.71,lambat
18,6,2,100,74,0.86,sedang
16,10,1,100,76,1.43,sedang
17,2,4,96,75,0.29,lambat
18,6,3,72,82,0.86,sedang
14,6,3,95,91,0.86,sedang
12,10,5,81,85,1.43,sedang
14,5,6,100,60,0.71,sedang
15,4,0,95,88,0.57,sedang
16,5,1,52,73,0.71,lambat
16,8,1,88,85,1.14,sedang
12,10,4,73,83,1.43,sedang
14,1,3,95,67,0.14,lambat
18,7,3,94,68,1.0,sedang
12,4,4,92,85,0.57,sedang
16,10,6,61,90,1.43,lambat
17,4,2,82,100,0.57,sedang
15,7,5,79,69,1.0,sedang
16,6,6,100,74,0.86,sedang
12,2,4,72,68,0.29,lambat
14,3,4,98,94,0.43,lambat
17,8,1,82,87,1.14,sedang
14,8,6,61,66,1.14,lambat
16,1,0,100,67,0.14,lambat
15,7,1,88,80,1.0,sedang
15,3,3,67,72,0.43,lambat
12,2,4,50,77,0.29,lambat
12,5,4,90,71,0.71,sedang
13,1,3,61,66,0.14,lambat
18,2,5,70,79,0.29,lambat
14,2,4,79,68,0.29,lambat
12,5,5,100,67,0.71,sedang
13,6,1,68,57,0.86,lambat
15,1,4,61,75,0.14,lambat
16,11,4,79,80,1.57,sedang
14,1,3,80,82,0.14,lambat
12,8,4,96,64,1.14,sedang
13,1,0,65,62,0.14,lambat
15,4,3,100,86,0.57,sedang
12,5,1,93,59,0.71,sedang
14,0,5,93,58,0.0,lambat
15,7,0,73,94,1.0,sedang
14,6,5,82,84,0.86,sedang
18,4,3,80,85,0.57,sedang
16,5,2,87,84,0.71,sedang
13,3,6,75,81,0.43,lambat
17,4,0,77,80,0.57,sedang
17,4,2,62,76,0.57,lambat
14,8,3,74,71,1.14,sedang
18,0,3,89,76,0.0,lambat
16,7,1,89,79,1.0,sedang
15,7,3,69,68,1.0,lambat
18,0,4,68,87,0.0,lambat
18,7,2,100,83,1.0,sedang
14,6,1,53,65,0.86,lambat
13,5,1,76,65,0.71,sedang
16,2,6,89,60,0.29,lambat
16,4,0,54,88,0.57,lambat
18,4,6,68,62,0.57,lambat
15,4,4,89,74,0.57,sedang
14,13,4,76,79,1.86,sedang
17,8,4,65,83,1.14,lambat
14,0,2,59,79,0.0,lambat
12,5,2,86,67,0.71,sedang
14,3,4,82,67,0.43,lambat
15,1,2,89,69,0.14,lambat
15,6,3,92,88,0.86,sedang
13,0,2,61,79,0.0,lambat
16,6,3,84,71,0.86,sedang
15,7,3,86,85,1.0,sedang
16,8,7,70,64,1.14,sedang
16,2,3,84,98,0.29,lambat
12,0,2,62,81,0.0,lambat
13,4,2,85,87,0.57,sedang
17,7,4,68,73,1.0,lambat
12,7,4,82,68,1.0,sedang
16,6,2,100,85,0.86,sedang
16,10,6,89,71,1.43,sedang
17,4,5,94,78,0.57,sedang
18,2,4,84,58,0.29,lambat
13,1,2,64,76,0.14,lambat
13,1,5,93,67,0.14,lambat
18,4,3,65,80,0.57,lambat
14,0,1,83,87,0.0,lambat
14,3,4,71,55,0.43,lambat
12,7,5,74,74,1.0,sedang
17,5,5,74,62,0.71,sedang
13,7,7,54,87,1.0,lambat
18,2,0,67,79,0.29,lambat
15,0,6,70,74,0.0,lambat
15,5,6,82,74,0.71,sedang
13,6,3,80,86,0.86,sedang
15,0,3,100,52,0.0,lambat
18,5,3,93,70,0.71,sedang
15,5,4,84,59,0.71,sedang
14,7,3,67,65,1.0,lambat
12,7,4,53,95,1.0,lambat
13,1,0,67,96,0.14,lambat
15,5,4,80,64,0.71,sedang
13,4,3,100,80,0.57,sedang
12,8,1,70,74,1.14,sedang
17,10,2,85,73,1.43,sedang
12,6,5,76,79,0.86,sedang
17,0,1,79,88,0.0,lambat
13,8,0,100,67,1.14,sedang
12,3,4,100,72,0.43,lambat
17,0,2,76,78,0.0,lambat
13,7,3,82,81,1.0,sedang
13,6,3,57,82,0.86,lambat
14,4,3,67,84,0.57,lambat
15,4,3,73,73,0.57,sedang
15,4,5,86,77,0.57,sedang
13,1,7,70,77,0.14,lambat
16,9,7,76,67,1.29,sedang
18,3,3,59,75,0.43,lambat
15,6,4,91,89,0.86,sedang
15,4,3,92,85,0.57,sedang
15,6,4,78,82,0.86,sedang
14,7,4,82,71,1.0,sedang
18,5,3,61,68,0.71,lambat
12,6,3,84,63,0.86,sedang
16,1,3,72,86,0.14,lambat
13,3,6,74,79,0.43,lambat
14,0,1,59,70,0.0,lambat
18,4,3,90,71,0.57,sedang
17,8,0,63,84,1.14,lambat
14,0,4,70,76,0.0,lambat
16,12,4,67,78,1.71,lambat
16,0,2,79,69,0.0,lambat
16,3,3,92,72,0.43,lambat
16,11,3,74,78,1.57,sedang
15,1,3,60,78,0.14,lambat
14,4,4,75,74,0.57,sedang
12,6,5,88,66,0.86,sedang
15,5,2,85,71,0.71,sedang
17,2,0,100,81,0.29,lambat
18,5,0,77,80,0.71,sedang
12,1,6,94,71,0.14,lambat
17,1,5,71,65,0.14,lambat
18,0,4,85,83,0.0,lambat
18,1,3,81,59,0.14,lambat
12,8,2,76,65,1.14,sedang
17,7,6,77,77,1.0,sedang
15,2,3,91,75,0.29,lambat
15,1,5,63,93,0.14,lambat
14,1,2,81,85,0.14,lambat
16,9,0,70,83,1.29,sedang
15,4,3,69,86,0.57,lambat
15,9,5,52,61,1.29,lambat
14,2,5,67,80,0.29,lambat
18,6,6,62,74,0.86,lambat
13,5,6,100,78,0.71,sedang
18,6,5,88,71,0.86,sedang
13,7,3,52,63,1.0,lambat
12,5,2,76,96,0.71,sedang
17,5,6,100,72,0.71,sedang
18,6,0,77,84,0.86,sedang
18,3,5,80,87,0.43,lambat
14,5,7,77,85,0.71,sedang
16,7,5,100,65,1.0,sedang
18,5,4,91,55,0.71,sedang
12,8,3,99,83,1.14,sedang
16,3,2,95,90,0.43,lambat
14,5,1,44,80,0.71,lambat
14,10,5,66,59,1.43,lambat
14,5,4,78,80,0.71,sedang
14,4,3,81,72,0.57,sedang
18,7,2,100,68,1.0,sedang
17,3,5,78,80,0.43,lambat
15,5,9,96,64,0.71,sedang
13,7,3,74,64,1.0,sedang
14,4,3,84,57,0.57,sedang
18,3,3,99,60,0.43,lambat
15,4,3,58,66,0.57,lambat
12,9,5,100,67,1.29,sedang
14,8,3,67,76,1.14,lambat
18,11,6,66,86,1.57,lambat
17,6,3,68,70,0.86,lambat
16,6,5,54,89,0.86,lambat
14,4,3,77,68,0.57,sedang
17,4,5,77,64,0.57,sedang
12,0,4,100,80,0.0,lambat
17,9,2,77,71,1.29,sedang
16,4,5,96,83,0.57,sedang
18,7,0,87,60,1.0,sedang
12,4,2,53,78,0.57,lambat
18,4,5,56,83,0.57,lambat
18,4,3,83,56,0.57,sedang
14,8,8,100,87,1.14,cepat
15,4,3,100,92,0.57,sedang
13,5,3,83,68,0.71,sedang
15,1,6,84,68,0.14,lambat
15,6,7,83,77,0.86,sedang
13,9,3,100,67,1.29,sedang
15,4,4,68,72,0.57,lambat
18,7,3,80,70,1.0,sedang
18,4,3,74,75,0.57,sedang
13,3,1,84,88,0.43,lambat
13,4,1,78,63,0.57,sedang
15,1,3,69,74,0.14,lambat
12,1,4,91,72,0.14,lambat
15,4,3,91,72,0.57,sedang
12,7,4,81,78,1.0,sedang
12,0,5,83,65,0.0,lambat
13,7,1,60,70,1.0,lambat
15,1,1,61,77,0.14,lambat
18,4,5,100,65,0.57,sedang
12,6,3,54,67,0.86,lambat
13,6,2,77,65,0.86,sedang
13,6,6,72,59,0.86,sedang
12,4,2,83,75,0.57,sedang
16,4,2,96,54,0.57,sedang
13,3,7,78,88,0.43,lambat
17,3,1,84,71,0.43,lambat
18,7,7,65,87,1.0,lambat
12,6,7,81,72,0.86,sedang
15,5,1,68,64,0.71,lambat
18,5,1,55,67,0.71,lambat
15,10,5,75,59,1.43,sedang
15,2,4,71,77,0.29,lambat
12,2,5,86,76,0.29,lambat
12,2,3,76,72,0.29,lambat
16,2,1,82,66,0.29,lambat
14,0,3,75,73,0.0,lambat
15,8,6,93,77,1.14,sedang
14,9,3,81,75,1.29,sedang
17,2,3,75,81,0.29,lambat
18,6,2,84,68,0.86,sedang
12,6,4,82,71,0.86,sedang
13,3,5,100,79,0.43,lambat
16,7,1,62,71,1.0,lambat
17,2,2,76,67,0.29,lambat
18,5,1,71,88,0.71,sedang
17,4,3,56,53,0.57,lambat
13,8,4,40,77,1.14,lambat
18,4,4,68,71,0.57,lambat
18,5,4,78,65,0.71,sedang
15,4,3,74,68,0.57,sedang
12,5,2,74,80,0.71,sedang
16,7,2,88,62,1.0,sedang
13,2,5,100,77,0.29,lambat
14,8,5,92,83,1.14,sedang
12,5,0,69,73,0.71,lambat
15,10,0,95,73,1.43,sedang
12,3,3,99,69,0.43,lambat
13,2,2,81,74,0.29,lambat
13,0,5,89,91,0.0,lambat
13,8,4,100,79,1.14,sedang
14,3,0,81,88,0.43,lambat
18,0,5,70,82,0.0,lambat
18,7,7,81,58,1.0,sedang
12,3,2,57,82,0.43,lambat
14,3,4,52,77,0.43,lambat
15,5,3,74,77,0.71,sedang
14,4,3,65,58,0.57,lambat
16,11,3,77,87,1.57,sedang
15,6,6,98,73,0.86,sedang
14,7,2,81,78,1.0,sedang
12,0,8,100,68,0.0,lambat
18,1,3,94,74,0.14,lambat
12,8,4,78,67,1.14,sedang
15,8,3,77,94,1.14,sedang
12,6,2,76,89,0.86,sedang
13,1,1,94,77,0.14,lambat
18,11,2,91,69,1.57,sedang
17,3,7,91,81,0.43,lambat
17,4,4,58,72,0.57,lambat
15,7,3,73,78,1.0,sedang
16,1,5,85,82,0.14,lambat
15,5,3,53,82,0.71,lambat
15,2,3,91,68,0.29,lambat
18,3,4,100,91,0.43,lambat
12,4,8,86,81,0.57,sedang
15,0,1,91,84,0.0,lambat
12,3,1,71,70,0.43,lambat
14,3,2,97,57,0.43,lambat
13,10,2,67,78,1.43,lambat
12,5,6,96,62,0.71,sedang
17,3,5,77,89,0.43,lambat
16,9,1,72,85,1.29,sedang
12,5,0,96,65,0.71,sedang
13,2,1,93,78,0.29,lambat
13,6,6,59,71,0.86,lambat
16,2,1,92,75,0.29,lambat
16,1,3,82,93,0.14,lambat
16,3,0,69,81,0.43,lambat
16,2,5,72,83,0.29,lambat
12,0,2,69,79,0.0,lambat
15,1,1,81,73,0.14,lambat
13,5,5,66,69,0.71,lambat
13,4,3,77,66,0.57,sedang
15,5,0,66,69,0.71,lambat
13,0,4,100,78,0.0,lambat
13,8,5,67,87,1.14,lambat
16,0,4,84,85,0.0,lambat
16,6,4,75,82,0.86,sedang
